N,L,T,R
24,33,10,3.379890194
24,33,15,3.250947109
24,33,20,3.149786854
24,33,25,3.066968358
24,33,30,2.996823966
30,33,10,2.841831071
30,33,15,2.724906518
30,33,20,2.63644388
30,33,25,2.565029658
30,33,30,2.505103313
48,33,10,2.518289074
48,33,15,2.335741327
48,33,25,2.113078434
48,33,30,2.037036031
60,33,10,3.054302443
60,33,15,2.795959801
60,33,20,2.614500753
60,33,25,2.477325535
60,33,30,2.368757416
72,33,10,3.997598243
72,33,30,3.157892078
24,36,10,3.371789719
24,36,15,3.246056258
24,36,20,3.147320403
24,36,25,3.066255151
24,36,30,2.997340759
30,36,10,2.835938143
30,36,25,2.574991477
30,36,30,2.517163278
48,36,10,2.375201001
48,36,15,2.211405012
48,36,20,2.098358014
48,36,25,2.013326936
48,36,30,1.945833698
60,36,10,2.851942544
60,36,15,2.605895787
60,36,20,2.434075499
60,36,25,2.304718866
60,36,30,2.20277385
72,36,10,3.78106142
72,36,30,2.954056737
24,38.5,15,3.343022154
24,38.5,20,3.244415793
24,38.5,25,3.162444129
24,38.5,30,3.09221543
30,38.5,10,2.920018361
30,38.5,15,2.813643394
30,38.5,25,2.661563279
30,38.5,30,2.60282865
48,38.5,10,2.296949651
48,38.5,15,2.158790248
48,38.5,20,2.061984491
48,38.5,25,1.987928345
60,38.5,15,2.402460889
60,38.5,20,2.25041492
60,38.5,25,2.136275218
72,38.5,10,3.487776738
72,38.5,15,3.197902858
72,38.5,20,2.98863601
72,38.5,25,2.827527816
24,43,15,3.497799884
24,43,20,3.394877944
24,43,25,3.309001145
24,43,30,3.235320381
30,43,10,3.064211784
30,43,15,2.954372669
30,43,20,2.867402423
30,43,30,2.733325303
48,43,10,2.282452596
48,43,15,2.164608365
60,43,10,2.387840733
60,43,20,2.083769623
60,43,25,1.9899319
60,43,30,1.915679209
72,43,10,3.071877636
72,43,15,2.809749606
72,43,20,2.623338902
72,43,25,2.481548693
24,47,10,3.88359167
24,47,15,3.738636415
24,47,20,3.625270309
24,47,25,3.531722924
24,47,30,3.451340017
30,47,10,3.220269665
30,47,20,3.010087103
30,47,25,2.932836175
30,47,30,2.866783988
48,47,10,2.326609432
48,47,15,2.218248436
48,47,20,2.138282745
48,47,25,2.074789695
48,47,30,2.022100752
60,47,10,2.246320751
60,47,15,2.101539672
60,47,20,1.999515317
60,47,25,1.921523445
60,47,30,1.858913658
72,47,10,2.691353918
72,47,15,2.469880629
72,47,25,2.197385709
72,47,30,2.10441578
